x,y,line,cp,algo,difference,oldage,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
9.571187,10.066523,0,start,beginner,37,0,0,W,Y,W,O,W,W,B,Y,Y,Y,O,R,B,G,R,G,Y,R,O,B,O,B,R,O,G,B,W,O,R,O,W,O,W,R,O,R,W,R,B,G,Y,G,Y,W,Y,B,R,G,G,B,Y,B,G,G
9.984759,9.822367,0,state,beginner,36,1,1,W,Y,W,O,W,W,G,B,W,R,R,R,O,G,Y,Y,B,G,O,B,O,B,R,O,B,R,W,O,R,O,W,O,W,B,Y,Y,R,O,R,G,Y,G,Y,W,Y,B,R,G,G,B,Y,B,G,G
11.000519,9.773353,0,state,beginner,39,2,2,W,Y,R,O,W,Y,G,B,G,R,R,R,O,G,G,Y,B,Y,B,B,O,R,R,B,W,O,O,O,R,O,W,O,W,B,Y,Y,R,O,G,G,Y,Y,Y,W,G,B,R,W,G,B,W,B,G,W
11.033332,9.481721,0,state,beginner,42,3,3,G,O,W,B,W,Y,G,Y,R,W,R,B,O,G,G,Y,B,Y,B,B,O,G,R,B,W,O,O,O,R,R,W,O,R,B,Y,R,R,O,G,G,Y,Y,Y,W,G,B,R,W,G,B,W,Y,W,O
10.025011,9.286995,0,state,beginner,42,4,4,G,O,W,B,W,W,G,Y,O,W,R,W,O,G,Y,Y,B,R,O,B,O,B,R,O,B,G,W,O,R,R,W,O,R,B,Y,R,R,O,B,G,Y,G,Y,W,Y,B,R,G,G,B,Y,Y,W,G
9.477349,8.466703,0,state,beginner,40,5,5,G,O,W,B,W,W,B,O,R,R,B,Y,Y,G,O,W,R,W,O,B,O,B,R,O,B,Y,R,O,R,R,W,O,R,B,G,W,O,Y,G,G,Y,G,Y,W,Y,B,R,G,G,B,Y,Y,W,G
9.14902,7.580286999999998,0,state,beginner,41,6,6,G,O,W,B,W,W,B,O,R,R,B,Y,Y,G,O,R,O,O,O,B,B,B,R,R,B,Y,G,W,R,R,R,O,R,W,G,W,G,G,Y,Y,Y,W,O,G,Y,B,W,O,G,B,Y,Y,W,G
9.309843,7.291297,0,state,beginner,38,7,7,G,O,W,B,W,W,W,G,W,R,Y,R,O,G,B,O,O,Y,O,B,B,B,R,R,B,O,R,W,R,R,R,O,R,Y,G,G,G,Y,B,Y,Y,W,O,G,Y,B,W,O,G,B,Y,Y,W,G
10.120699,6.8742056,0,state,beginner,39,8,8,G,O,W,B,W,W,W,G,W,R,Y,R,O,G,B,R,R,B,O,B,B,B,R,W,B,O,O,O,R,R,O,O,R,Y,G,G,B,W,Y,Y,Y,G,G,Y,O,Y,R,W,G,B,Y,Y,W,G
10.91095,6.815649499999999,0,state,beginner,42,9,9,G,O,W,B,W,W,Y,G,G,R,O,R,R,G,Y,B,B,R,O,B,B,B,R,W,W,G,W,O,R,R,O,O,R,Y,W,B,O,O,B,Y,Y,G,G,Y,O,Y,R,W,G,B,Y,Y,W,G
11.6017065,6.8700304,0,state,beginner,42,10,10,G,O,R,B,W,Y,Y,G,R,R,O,B,R,G,G,B,B,O,W,B,O,G,R,B,W,W,B,O,R,R,O,O,R,Y,W,B,O,O,W,Y,Y,Y,G,Y,G,Y,R,W,G,B,W,Y,W,G
11.932614,6.199974,0,state,beginner,39,11,11,Y,B,G,G,W,O,R,Y,R,W,G,W,R,G,G,B,B,O,Y,B,O,W,R,B,G,W,B,O,R,R,O,O,O,Y,W,B,O,O,W,Y,Y,Y,G,Y,G,Y,R,W,G,B,W,B,R,R
11.532511,5.9027624,0,state,beginner,38,12,12,Y,B,W,G,W,W,R,Y,R,W,G,G,R,G,O,B,B,R,O,B,B,B,R,W,Y,W,G,O,R,R,O,O,O,Y,W,B,O,O,W,Y,Y,G,G,Y,O,Y,R,W,G,B,Y,B,R,G
11.083381,5.1563654,0,state,beginner,36,13,13,Y,B,W,G,W,W,W,O,O,R,B,B,O,G,R,G,G,W,O,B,B,B,R,W,Y,W,B,O,R,R,O,O,O,Y,W,G,R,Y,R,Y,Y,G,G,Y,O,Y,R,W,G,B,Y,B,R,G
10.908904,4.33556,0,state,beginner,39,14,14,Y,B,W,G,W,W,W,O,O,R,B,B,O,G,R,B,W,B,O,B,Y,B,R,R,Y,W,W,G,R,R,G,O,O,W,W,G,R,G,O,Y,Y,Y,R,Y,G,Y,O,O,G,B,Y,B,R,G
10.948223,3.8825936,0,state,beginner,42,15,15,Y,B,O,G,W,Y,W,O,G,R,B,W,O,G,W,B,W,O,Y,R,W,B,R,W,O,B,Y,G,R,R,G,O,O,W,W,G,R,G,B,Y,Y,R,R,Y,B,Y,O,O,G,B,Y,B,R,G
10.678494,3.1725156,0,state,beginner,43,16,16,W,G,Y,O,W,B,G,Y,O,O,B,Y,O,G,W,B,W,O,B,R,W,R,R,W,G,B,Y,G,R,R,G,O,B,W,W,W,R,G,B,Y,Y,R,R,Y,B,Y,O,O,G,B,Y,G,O,R
10.25868,2.660469,0,state,beginner,40,17,17,W,G,Y,O,W,W,G,Y,O,O,B,B,O,G,R,B,W,B,G,R,B,B,R,R,Y,W,W,G,R,R,G,O,B,W,W,W,R,G,O,Y,Y,Y,R,Y,R,Y,O,Y,G,B,B,G,O,O
9.970909,1.9068033,0,state,beginner,39,18,18,W,G,Y,O,W,W,O,G,R,B,W,B,R,G,O,B,B,O,G,R,B,B,R,R,W,W,W,G,R,R,G,O,B,Y,W,W,O,Y,G,Y,Y,Y,R,Y,R,Y,O,Y,G,B,B,G,O,O
9.997808,1.4001354,0,state,beginner,36,19,19,W,G,Y,O,W,W,O,G,R,B,W,B,R,G,O,G,G,Y,G,R,O,B,R,B,W,W,B,Y,R,R,O,O,B,Y,W,W,R,Y,O,Y,Y,Y,R,Y,G,B,R,W,G,B,B,G,O,O
10.956405,0.5953174,0,state,beginner,37,20,20,W,G,O,O,W,Y,O,G,G,B,W,W,R,G,B,G,G,O,B,W,W,B,R,B,O,R,G,Y,R,R,O,O,B,Y,W,W,R,Y,Y,Y,Y,W,R,Y,R,B,R,B,G,B,O,G,O,Y
12.071749,0.23607938,0,state,beginner,34,21,21,O,Y,G,G,W,G,W,O,O,R,B,W,R,G,B,G,G,O,W,W,W,W,R,B,B,R,G,Y,R,Y,O,O,O,Y,W,G,R,Y,Y,Y,Y,W,R,Y,R,B,R,B,G,B,O,B,B,O
12.01091,0.1506223,0,state,beginner,33,22,22,R,Y,R,G,W,G,W,O,O,R,B,W,R,G,B,G,G,O,Y,R,Y,W,R,B,B,R,G,W,W,W,O,O,O,Y,W,G,R,Y,Y,Y,Y,W,G,Y,O,O,B,B,O,B,G,B,R,B
10.918548,0.3417526,0,state,beginner,35,23,23,W,G,R,O,W,Y,O,G,R,B,W,Y,R,G,B,G,G,O,B,R,Y,R,R,B,B,R,G,W,W,R,O,O,B,Y,W,W,R,Y,Y,Y,Y,W,G,Y,O,O,B,B,O,B,G,G,O,W
9.448755,0.6264854000000001,0,checkpoint,beginner,33,24,24,W,G,Y,O,W,W,O,G,O,B,W,B,R,G,G,G,G,W,G,R,B,B,R,R,Y,R,B,W,W,R,O,O,B,Y,W,W,R,Y,R,Y,Y,Y,G,Y,R,O,B,Y,O,B,B,G,O,O
8.705772999999999,-0.06839616,0,state,beginner,35,25,25,B,G,Y,R,W,W,G,G,O,R,W,B,Y,G,G,G,G,W,G,R,B,B,R,R,Y,R,B,R,B,W,W,O,W,W,O,Y,O,Y,R,O,Y,Y,G,Y,R,W,B,Y,O,B,B,O,O,O
7.8681345,-0.7474214,0,state,beginner,30,26,26,Y,W,O,G,W,G,B,R,G,W,W,Y,Y,G,G,G,G,W,B,R,B,W,R,R,R,R,B,R,B,O,W,O,O,W,O,O,O,Y,R,O,Y,Y,G,Y,R,W,B,Y,O,B,B,G,B,Y
7.235738799999999,-1.3175001,0,state,beginner,28,27,27,W,W,O,O,W,G,G,R,G,Y,W,Y,G,G,G,B,G,W,B,R,B,W,R,R,R,R,B,W,W,R,O,O,B,O,O,O,W,Y,R,Y,Y,Y,G,Y,R,O,B,Y,O,B,B,G,B,Y
7.4969287,-2.8703744,0,state,beginner,30,28,28,O,G,G,W,W,R,W,O,G,R,B,O,G,G,G,B,G,W,Y,R,B,W,R,R,Y,R,B,W,W,Y,O,O,B,O,O,G,W,Y,R,Y,Y,Y,G,Y,R,O,B,Y,O,B,B,B,W,R
6.865775,-3.4732215,0,state,beginner,31,29,29,O,G,O,W,W,G,W,O,W,R,B,R,G,G,Y,B,G,R,Y,W,Y,R,R,R,B,R,B,W,W,Y,O,O,B,O,O,G,W,Y,Y,Y,Y,B,G,Y,R,O,B,G,O,B,R,B,W,G
6.623582400000001,-3.531306,0,state,beginner,29,30,30,O,G,W,G,W,O,O,W,W,Y,B,G,G,G,Y,B,G,R,R,W,Y,B,R,R,R,R,B,W,W,G,O,O,W,O,O,B,W,Y,Y,Y,Y,B,G,Y,R,O,B,G,O,B,R,Y,R,B
7.606106,-2.8267999,0,state,beginner,32,31,31,O,G,G,G,W,R,O,W,B,Y,B,W,G,G,O,B,G,W,Y,R,B,W,R,R,R,B,R,W,W,G,O,O,W,O,O,B,W,Y,G,Y,Y,Y,G,Y,R,O,B,Y,O,B,B,Y,R,R
7.0866419999999986,-1.6933056,0,state,beginner,32,32,32,B,W,O,R,W,G,G,G,O,R,R,Y,G,G,O,B,G,W,B,R,B,W,R,R,G,B,R,W,W,R,O,O,W,O,O,Y,W,Y,G,Y,Y,Y,G,Y,R,O,B,Y,O,B,B,W,B,Y
5.9896474,-2.7341003,0,state,beginner,30,33,33,B,W,Y,R,W,O,G,G,W,R,R,G,G,G,Y,B,G,R,G,W,B,B,R,R,R,R,B,W,W,R,O,O,W,O,O,Y,W,Y,Y,Y,Y,B,G,Y,Y,O,B,O,O,B,G,W,B,O
6.049646,-2.3050263,0,state,beginner,29,34,34,Y,O,W,W,W,G,B,R,G,R,W,Y,G,G,Y,B,G,R,G,W,B,R,R,R,R,R,B,W,W,O,O,O,B,O,O,W,W,Y,Y,Y,Y,B,G,Y,Y,O,B,O,O,B,G,G,B,R
6.3088117,-1.2657125,0,state,beginner,27,35,35,Y,O,O,W,W,G,B,R,R,R,W,W,G,G,G,B,G,G,B,R,B,W,R,R,G,R,R,W,W,O,O,O,B,O,O,W,W,Y,Y,Y,Y,Y,G,Y,R,O,B,Y,O,B,B,G,B,Y
5.894323,0.41234767,0,state,beginner,27,36,36,B,R,B,W,W,G,B,R,R,R,W,W,G,G,G,B,G,G,R,Y,G,W,R,R,G,R,R,Y,O,O,O,O,B,O,O,W,W,Y,Y,Y,Y,Y,O,W,W,G,O,O,B,B,B,Y,B,Y
5.2863935999999985,0.63023144,0,state,beginner,30,37,37,R,R,B,G,W,W,B,R,B,Y,B,Y,G,G,G,B,G,G,W,Y,G,B,R,R,O,R,R,Y,O,G,O,O,W,O,O,R,W,Y,Y,Y,Y,Y,O,W,W,G,O,O,B,B,B,W,W,R
4.075693,-2.8697577,0,state,beginner,29,38,38,W,Y,G,G,W,W,B,R,B,Y,B,Y,G,G,G,B,G,G,W,W,O,B,R,R,O,R,R,R,R,B,O,O,W,O,O,R,W,Y,Y,Y,Y,Y,G,O,Y,W,B,G,W,B,O,R,B,O
3.608991000000001,-3.1263444,0,state,beginner,28,39,39,B,G,W,R,W,Y,B,W,G,O,B,W,G,G,G,B,G,G,R,W,O,B,R,R,O,R,R,R,R,Y,O,O,B,O,O,Y,W,Y,Y,Y,Y,Y,G,O,Y,W,B,G,W,B,O,R,W,B
5.3654675,0.8729254999999999,0,state,beginner,30,40,40,R,R,Y,R,W,Y,B,W,G,O,B,W,G,G,G,B,G,G,B,G,W,B,R,R,O,R,R,Y,O,G,O,O,B,O,O,Y,W,Y,Y,Y,Y,Y,O,W,R,G,O,B,B,B,W,W,W,R
5.895182599999999,0.85998946,0,state,beginner,27,41,41,B,R,R,W,W,R,G,Y,Y,O,B,B,G,G,G,B,G,G,W,G,W,W,R,R,R,R,R,Y,O,O,O,O,B,O,O,W,W,Y,Y,Y,Y,Y,O,W,R,G,O,B,B,B,W,Y,B,G
3.317939,-3.0983138,0,state,beginner,25,42,42,W,G,W,W,W,R,G,Y,Y,O,B,B,G,G,G,B,G,G,R,W,O,W,R,R,R,R,R,B,R,R,O,O,B,O,O,W,W,Y,Y,Y,Y,Y,O,O,Y,Y,B,G,B,B,O,G,W,B
4.231259,-2.4218798,0,state,beginner,24,43,43,Y,Y,G,R,W,W,W,G,W,B,W,G,G,G,G,B,G,G,W,W,O,B,R,R,R,R,R,B,R,R,O,O,W,O,O,R,W,Y,Y,Y,Y,Y,O,O,Y,Y,B,G,B,B,O,B,B,O
4.7833915000000005,-1.3614861,0,state,beginner,20,44,44,Y,O,O,R,W,W,W,G,W,B,W,G,G,G,G,B,G,G,B,R,R,B,R,R,R,R,R,W,W,O,O,O,W,O,O,R,W,Y,Y,Y,Y,Y,G,Y,Y,O,B,B,O,B,B,G,B,Y
3.113321,-1.031243,0,state,beginner,22,45,45,O,W,W,O,W,G,Y,R,W,O,W,R,G,G,G,B,G,G,G,R,R,W,R,R,B,R,R,W,W,Y,O,O,B,O,O,G,W,Y,Y,Y,Y,Y,G,Y,Y,O,B,B,O,B,B,B,B,R
2.2022927000000005,-0.65887314,0,state,beginner,25,46,46,O,W,W,O,W,G,B,R,W,O,W,R,O,G,G,Y,G,G,G,R,R,W,R,R,B,R,R,O,O,W,O,O,W,G,B,Y,O,Y,Y,G,Y,Y,B,Y,Y,W,B,B,Y,B,B,G,B,R
1.7890254,-1.5043873,0,state,beginner,24,47,47,W,G,W,W,W,R,O,O,B,W,W,Y,O,G,G,Y,G,G,R,R,R,W,R,R,O,R,R,O,O,R,O,O,B,G,B,G,O,Y,Y,G,Y,Y,B,Y,Y,W,B,B,Y,B,B,G,W,B
2.2226315,-1.9203105,0,state,beginner,23,48,48,W,G,W,O,W,R,Y,O,B,O,W,Y,G,G,G,B,G,G,R,R,R,W,R,R,O,R,R,R,B,G,O,O,B,O,O,G,W,Y,Y,Y,Y,Y,G,Y,Y,W,B,B,W,B,B,O,W,B
4.3246045,-1.1708963,0,state,beginner,24,49,49,B,O,Y,R,W,O,W,G,W,B,W,O,G,G,G,B,G,G,G,R,R,B,R,R,G,R,R,R,B,O,O,O,W,O,O,R,W,Y,Y,Y,Y,Y,G,Y,Y,W,B,B,W,B,B,Y,W,O
4.255668599999999,-0.20831108,0,state,beginner,29,50,50,R,B,O,R,W,O,W,G,W,B,W,O,G,G,G,B,G,G,B,O,Y,B,R,R,G,R,R,Y,Y,G,O,O,W,O,O,R,W,Y,Y,Y,Y,Y,R,R,G,B,B,O,B,B,W,W,W,Y
3.5290844,0.14254975,0,state,beginner,26,51,51,O,O,W,B,W,G,R,R,W,G,W,R,G,G,G,B,G,G,O,O,Y,W,R,R,B,R,R,Y,Y,Y,O,O,W,O,O,W,W,Y,Y,Y,Y,Y,R,R,G,B,B,O,B,B,W,B,B,G
2.6393828,-0.007110765,0,state,beginner,20,52,52,O,O,Y,B,W,G,R,R,W,G,W,R,G,G,G,B,G,G,G,R,R,W,R,R,B,R,R,O,O,W,O,O,W,O,O,W,W,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,W,O
-0.3871987,-2.0686162,0,state,beginner,20,53,53,W,R,R,G,W,B,Y,O,O,O,W,G,G,G,G,B,G,G,W,R,R,W,R,R,W,R,R,O,O,B,O,O,W,O,O,G,W,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,W,G
-4.178744,5.746525,0,state,beginner,24,54,54,W,R,R,G,W,B,Y,Y,W,G,G,B,G,G,G,G,W,O,W,R,R,W,R,R,O,O,G,O,O,B,O,O,W,W,R,R,O,O,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,W,G
0.1340956,-3.6879015,0,state,beginner,24,55,55,Y,G,W,Y,W,R,W,B,R,O,W,W,G,G,G,G,W,O,R,R,R,W,R,R,G,O,G,O,O,G,O,O,G,W,R,B,O,O,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,W,B
0.3877366,-3.2918603,0,state,beginner,24,56,56,Y,G,W,Y,W,R,Y,O,O,O,W,G,G,G,G,W,W,O,R,R,R,W,R,R,W,R,B,O,O,G,O,O,G,G,O,G,R,B,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,W,B
0.9652237,-3.642489700000001,0,state,beginner,25,57,57,Y,Y,Y,O,W,G,O,R,W,W,W,R,G,G,G,W,W,O,R,R,R,W,R,R,B,R,B,O,O,O,O,O,W,G,O,G,R,B,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,G,G
0.66648155,-4.1630836,0,state,beginner,27,58,58,Y,Y,Y,O,W,G,W,B,R,O,W,W,G,G,G,R,W,W,R,R,R,W,R,R,G,O,G,O,O,O,O,O,W,B,R,B,W,R,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,G,G
-4.6871985999999985,5.7944818,0,state,beginner,26,59,59,R,B,W,G,W,O,Y,Y,Y,G,G,G,G,G,G,R,W,W,B,R,R,W,R,R,O,O,G,O,O,G,O,O,W,B,R,R,W,R,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,W,O
-5.8442907,4.766197,0,state,beginner,25,60,60,R,B,W,G,W,O,O,O,G,G,G,W,G,G,W,G,G,R,B,R,R,W,R,R,O,R,W,O,O,G,O,O,W,Y,Y,Y,R,R,B,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,W,O
-6.542277,4.6841264,0,state,beginner,27,61,61,O,G,R,O,W,B,G,O,W,O,W,B,G,G,W,G,G,R,W,R,R,W,R,R,O,R,W,O,O,G,O,O,G,Y,Y,W,R,R,B,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,W,G
-8.195115,3.6061397,0,state,beginner,30,62,62,O,G,B,O,W,W,G,O,R,O,W,B,G,G,Y,G,G,Y,O,W,W,R,R,R,W,R,R,O,O,G,O,O,G,Y,Y,W,R,R,B,Y,Y,B,Y,Y,G,B,B,R,B,B,B,Y,W,W
-7.417826,4.1068444,0,state,beginner,29,63,63,B,W,R,G,W,O,O,O,G,G,G,W,G,G,Y,G,G,Y,B,W,W,W,R,R,O,R,R,O,O,W,O,O,W,Y,Y,Y,R,R,B,Y,Y,B,Y,Y,G,B,B,R,B,B,B,O,R,W
-4.859588,4.160167,0,state,beginner,24,64,64,B,W,R,G,W,B,O,O,W,G,G,R,G,G,O,G,G,G,W,R,R,W,R,R,B,W,O,O,O,W,O,O,W,Y,Y,Y,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,R,G
-1.0673968,-1.7323331999999998,0,state,beginner,17,65,65,B,W,R,G,W,B,B,W,O,R,O,G,G,G,G,G,G,G,W,R,R,W,R,R,W,R,R,O,O,W,O,O,W,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,R,G
-1.6079085,-0.9243829,0,state,beginner,16,66,66,B,G,B,W,W,W,O,B,R,W,W,W,G,G,G,G,G,G,O,R,R,R,R,R,G,R,R,O,O,R,O,O,O,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,W,W
