vector,line,algo,oldage,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
45,2,0.05,3,5.090913463753595,3.937135957688333,958,0,8,4,1,10,12,2,4,14,0,1105,4,1,3,4,3,12,5,6,0,2,938,16,6,5,7,26,11,4,2,2,14,920,0,30,2,3,18,9,0,1,11,2,922,6,11,9,7,31,8,1,0,25,0,786,19,1,27,12,7,4,8,2,11,13,896,1,10,1,1,2,17,14,1,6,2,945,8,19,4,18,26,19,9,26,6,0,873,6,0,0,6,7,29,6,0,29,11,907
46,2,0.05,4,3.8526357830069276,3.7435450662436978,960,0,8,4,1,8,11,1,4,11,0,1108,4,1,1,3,3,11,4,5,0,2,947,14,6,3,7,23,8,4,2,2,14,930,0,24,1,4,17,8,0,1,9,2,924,4,9,8,9,30,6,1,0,24,0,804,16,1,21,13,7,4,7,2,12,13,904,1,11,1,1,2,16,10,2,5,2,951,8,15,4,15,22,16,8,22,5,1,881,6,0,0,5,7,28,6,0,27,11,916
47,2,0.05,5,3.1868962931708253,3.030349768997862,959,0,8,4,1,6,11,1,4,10,0,1111,2,2,0,3,3,10,4,5,0,2,954,12,6,3,7,24,8,4,2,2,13,940,0,21,1,4,15,7,0,1,9,2,925,2,9,7,10,29,6,0,0,21,0,821,14,0,19,12,8,4,7,1,12,12,906,1,11,1,1,2,14,8,2,5,2,955,8,15,4,13,21,14,7,15,5,1,885,6,0,0,4,6,29,4,0,25,10,920
48,2,0.05,6,2.6557087459666984,2.36521385869368,961,0,7,4,1,5,11,0,4,7,0,1113,3,2,0,3,3,9,4,6,1,2,964,14,6,2,6,23,7,3,2,2,12,944,0,21,1,5,12,6,0,0,8,2,928,2,9,6,8,29,6,0,0,17,0,826,13,0,18,14,5,4,5,1,12,12,909,0,10,1,1,2,11,8,1,5,1,961,8,11,4,12,18,15,7,12,5,2,895,6,0,0,4,3,27,4,0,22,8,926
49,2,0.05,7,2.2457827620747386,1.8058190579373863,962,0,7,3,1,3,12,0,4,7,0,1113,4,2,0,2,4,9,5,6,1,2,963,12,7,1,5,23,7,3,2,2,12,954,0,19,1,4,12,6,0,0,7,0,932,2,9,4,8,28,6,0,1,14,0,835,10,0,16,14,5,4,4,1,9,11,912,0,9,1,1,2,12,8,1,4,1,965,9,10,3,12,18,13,6,10,4,2,897,6,0,0,4,3,26,5,0,21,7,928
50,2,0.05,8,1.7982042414384196,1.2512924075317196,962,0,7,3,1,3,12,0,4,7,0,1114,4,2,0,2,4,10,5,7,1,2,970,12,7,1,6,23,6,2,2,2,9,957,0,16,0,4,12,5,0,0,7,0,935,2,9,3,7,26,6,0,1,13,0,841,12,0,15,13,5,4,4,1,9,11,909,0,9,1,1,2,13,9,0,3,1,968,9,9,3,11,15,11,4,8,5,1,900,6,0,0,2,2,26,5,0,19,7,933
51,2,0.05,9,1.265568025472088,0.6434063277746948,963,0,7,3,1,3,11,1,4,7,0,1114,4,2,0,2,4,10,4,8,1,2,974,12,6,1,5,22,6,2,2,2,8,957,0,10,0,4,9,5,0,0,7,0,937,1,9,2,7,21,5,0,1,12,0,850,9,0,13,11,5,4,4,1,9,11,915,0,9,1,1,2,12,9,0,3,1,969,8,9,3,11,13,11,4,7,4,1,907,6,0,0,2,3,25,4,0,19,7,939
52,2,0.05,10,1.1557888883409595,0.2740022424505071,963,0,6,3,1,3,10,1,4,7,0,1117,5,2,1,2,3,11,4,8,1,2,975,9,7,1,5,20,6,1,2,2,8,962,0,13,0,4,9,5,0,0,7,0,937,1,9,1,7,23,5,0,1,11,0,848,9,0,10,12,5,4,3,1,8,10,917,0,8,1,1,2,13,9,0,3,1,972,7,9,3,8,12,10,4,7,4,1,912,6,0,0,2,3,24,4,0,18,7,937
53,2,0.05,11,0.8120532815350608,-0.20808604354961058,965,0,6,3,1,3,9,1,4,7,0,1117,5,1,1,2,3,11,4,8,1,2,978,10,8,0,4,19,5,1,2,2,8,965,0,12,0,4,8,5,0,0,7,0,936,0,10,2,8,23,5,0,1,11,0,855,8,0,10,12,4,4,3,0,8,9,918,0,6,1,1,2,13,8,1,2,1,974,7,8,2,8,9,9,4,5,5,1,915,6,0,0,2,3,23,4,0,16,7,938
54,2,0.05,12,0.6234007072948256,-0.4183655261136024,966,0,6,3,1,3,9,1,4,7,0,1119,5,1,1,2,3,11,4,8,1,2,978,9,8,0,4,20,5,0,1,2,9,966,0,10,0,3,7,6,0,0,7,0,937,0,10,1,7,23,5,0,1,12,0,859,8,0,10,11,4,3,3,0,7,8,918,0,6,1,1,2,13,8,1,2,1,974,7,8,2,7,9,8,4,5,5,1,918,6,0,0,1,3,23,3,0,17,6,939
55,2,0.05,13,0.4495473170443789,-0.6356941317173544,965,0,6,2,2,3,9,1,4,6,0,1120,5,1,2,2,3,11,4,8,1,2,977,8,9,0,4,20,5,0,0,2,9,969,0,10,0,3,6,6,1,0,7,0,938,0,10,1,7,22,5,0,1,12,0,860,8,0,10,10,4,2,4,0,5,8,918,0,6,1,1,2,13,7,1,2,1,975,7,8,3,7,9,8,2,5,5,1,919,6,0,0,1,3,23,2,0,16,6,942
56,2,0.05,14,0.47597780276921525,-0.8099030943985588,965,0,6,2,2,3,9,1,4,5,0,1120,5,1,2,2,3,11,4,8,1,2,977,9,10,0,4,19,5,0,0,2,9,970,0,13,0,3,6,5,1,0,7,0,938,0,9,1,9,22,5,0,1,12,0,858,7,0,10,11,3,2,3,0,5,8,921,0,4,1,2,2,13,6,1,2,0,976,7,8,3,7,10,8,2,4,5,2,920,6,0,0,1,2,22,2,0,15,5,943
57,2,0.05,15,0.21826399549254336,-1.2164881440531767,965,0,6,2,2,3,9,1,4,4,0,1122,5,1,2,2,3,10,3,8,1,2,979,8,11,0,4,19,4,0,0,1,7,972,0,11,0,3,5,5,1,0,7,0,940,0,9,0,8,21,5,0,1,11,0,860,7,0,9,11,3,2,3,0,4,8,921,0,5,1,2,2,13,6,2,2,0,978,7,8,3,6,10,8,2,4,5,2,924,5,0,0,1,2,19,2,0,15,5,946
58,2,0.05,16,0.06894800451482644,-1.311789152099672,965,0,6,2,2,3,9,1,4,4,0,1122,5,1,2,2,4,10,3,7,1,2,981,7,11,0,4,18,3,0,0,1,6,972,0,10,0,3,6,5,1,0,7,0,940,0,9,0,9,21,5,0,1,11,0,861,8,0,9,10,3,2,3,0,4,8,920,0,5,1,2,2,13,6,3,2,0,979,7,8,3,6,9,9,2,4,4,2,923,5,0,0,1,2,18,2,0,15,5,948
59,2,0.05,17,-0.060130948637442755,-1.5519603396752963,965,0,6,2,2,3,8,1,4,4,0,1122,5,1,2,2,4,10,3,7,1,2,982,7,11,0,4,18,3,0,0,1,6,975,0,10,0,3,6,5,1,0,7,0,942,0,9,0,9,21,5,0,1,9,0,861,9,0,9,10,3,2,3,0,4,8,920,0,5,1,2,2,12,6,3,2,0,980,7,8,3,6,9,9,2,4,4,2,925,5,0,0,1,1,16,2,0,14,3,948
60,2,0.05,18,-0.3288080106622507,-1.932806606938902,965,0,6,2,2,3,9,1,4,4,0,1123,5,1,2,2,4,10,2,7,1,2,986,7,11,0,2,17,3,0,0,1,5,977,0,9,1,3,6,5,1,0,7,0,942,0,7,0,9,20,5,0,1,7,0,862,8,0,9,9,3,2,2,0,4,8,921,0,5,1,2,2,11,6,3,2,2,983,7,8,3,5,8,9,2,4,4,2,926,4,0,0,1,1,16,2,0,12,3,951
61,2,0.05,19,-0.5589043656065117,-2.2953198272161086,968,0,6,2,2,3,9,1,4,4,0,1123,5,1,2,2,4,10,2,7,0,2,987,7,11,0,2,15,3,0,0,1,5,979,0,9,1,3,5,5,1,0,6,0,943,0,7,0,8,19,3,0,1,6,0,862,8,0,9,7,2,2,2,0,3,8,921,0,5,1,1,2,11,6,3,2,2,985,7,9,4,5,8,8,2,4,4,3,928,4,1,0,1,1,16,2,0,11,3,953
62,2,0.05,20,-0.5775011827084818,-2.4102961568580072,969,0,5,2,2,3,8,1,4,4,0,1123,5,1,2,1,4,10,2,7,0,2,987,7,10,0,2,15,3,0,0,1,5,979,0,9,1,3,4,5,1,0,7,0,945,0,7,0,9,18,2,0,1,6,0,863,8,0,9,8,2,2,2,0,3,8,921,0,5,1,1,2,10,6,3,2,2,986,7,9,4,5,9,8,2,4,5,3,928,5,1,0,1,1,15,2,0,10,3,952
63,3,0.1,0,6.713816176961693,-0.9323026666265897,290,109,149,252,218,420,298,247,258,128,461,479,176,251,179,265,132,400,136,359,6,4,5,10,14,3,18,15,34,9,80,65,47,101,62,68,76,6,43,41,0,0,5,0,9,5,0,2,2,1,86,325,352,274,363,59,272,298,418,402,2,0,3,4,5,1,0,0,8,6,43,66,261,73,102,55,122,47,51,23,11,87,31,45,26,16,40,13,24,40,1,0,3,0,4,0,0,0,0,0
64,3,0.1,1,6.052266836029321,4.227427061056011,959,0,12,5,1,15,14,2,5,13,0,1102,9,2,3,4,3,14,10,8,0,3,919,18,4,5,5,26,9,4,2,2,14,908,0,32,2,3,24,10,0,1,13,3,908,10,13,10,7,28,6,1,0,31,2,765,22,2,26,10,7,4,9,2,13,14,892,1,10,1,1,2,16,15,2,8,2,930,8,19,5,20,33,19,8,33,5,0,857,8,0,0,7,7,41,6,0,40,18,908
65,3,0.1,2,3.9051742070526276,4.034789891227019,960,0,9,4,1,9,12,1,4,11,0,1110,4,2,0,3,3,12,5,6,1,2,945,14,5,5,7,25,9,4,2,2,14,932,0,24,1,4,20,6,0,1,9,2,922,4,9,7,10,27,5,1,0,24,0,802,19,1,22,13,7,4,8,2,13,12,900,1,11,1,1,2,15,10,1,5,2,946,8,16,4,13,22,13,9,22,5,0,874,5,0,0,6,7,31,6,0,31,11,920
66,3,0.1,3,2.3732664681238735,2.485194484378342,960,0,9,4,1,5,12,0,4,7,0,1113,4,2,0,3,4,11,5,6,2,2,960,13,6,2,4,24,7,4,2,2,12,942,0,18,1,3,17,6,0,0,8,2,928,2,10,6,8,23,5,0,0,20,0,831,15,0,17,14,6,4,5,1,11,11,907,0,10,1,1,2,11,8,1,4,1,959,7,10,4,12,19,13,7,10,4,1,891,6,0,0,4,5,28,6,0,24,8,932
67,3,0.1,4,1.5657980368450297,1.5006721270511263,963,0,7,3,1,4,12,1,4,7,0,1115,4,2,1,2,4,11,5,6,2,2,969,14,5,1,4,21,7,3,2,2,10,950,0,14,0,4,10,6,0,0,7,0,933,2,9,4,8,19,4,0,1,18,0,842,15,0,17,12,5,4,4,1,10,11,909,0,8,1,1,2,12,9,1,3,1,963,8,9,3,10,16,11,4,8,4,2,901,5,0,0,2,2,27,5,0,22,6,941
68,3,0.1,5,0.8071879461782742,0.32812048750979683,965,0,6,3,1,4,11,1,4,7,0,1118,4,2,1,2,4,11,4,8,1,2,976,10,6,1,5,20,6,1,1,2,8,962,0,9,0,4,9,5,0,0,7,0,934,0,9,2,7,20,4,0,1,13,0,856,12,0,15,10,5,4,4,0,10,8,912,0,8,1,1,2,13,9,0,3,1,969,7,8,3,7,11,8,4,5,4,1,908,6,0,0,2,3,26,4,0,20,6,943
69,3,0.1,6,0.4360594278950482,-0.190869171213717,965,0,6,3,2,4,10,1,4,6,0,1119,4,1,2,2,3,10,4,8,1,2,979,8,7,0,5,20,6,1,1,2,8,966,0,8,0,3,7,6,0,0,7,0,938,0,8,1,8,19,4,0,1,12,0,859,12,0,12,11,5,3,3,0,7,8,915,0,7,1,1,2,13,9,1,2,1,972,7,8,3,7,9,8,2,5,4,2,913,6,0,0,2,3,23,4,0,19,6,943
70,3,0.1,7,0.06904884563804545,-0.7166405319622977,966,0,6,2,2,4,8,1,4,5,0,1120,4,1,2,2,3,10,3,8,1,2,979,7,9,0,5,19,5,0,0,2,8,973,0,7,0,3,5,6,0,0,7,0,937,0,8,0,7,19,4,1,1,11,0,862,13,0,12,11,5,2,3,0,6,8,916,0,8,1,1,2,13,6,1,2,1,977,7,8,3,6,9,7,2,4,4,2,917,5,0,0,2,3,23,3,0,16,6,946
71,3,0.1,8,-0.20147989163864222,-1.1663866588749146,967,0,6,2,2,4,7,1,4,4,0,1120,4,1,2,1,3,11,3,8,1,2,980,6,9,0,5,18,5,0,0,2,8,974,0,10,0,2,6,5,0,0,8,0,941,0,8,0,8,18,3,1,1,10,0,861,11,0,11,10,3,2,3,0,5,8,919,0,6,1,2,2,12,6,2,2,0,978,7,8,4,6,8,8,2,4,5,3,919,4,0,0,2,3,19,2,0,15,5,951
72,3,0.1,9,-0.66895020484079,-1.815011362000289,969,0,6,2,2,4,7,1,4,4,0,1122,4,1,2,1,3,12,2,7,1,2,988,5,9,0,2,17,4,0,0,1,5,977,0,9,0,2,5,5,0,0,8,0,943,0,6,0,8,18,2,1,1,9,0,862,10,0,10,8,3,2,1,0,5,8,922,0,6,1,1,2,10,6,2,2,2,979,7,8,4,5,8,8,2,4,6,2,923,4,0,0,1,2,17,2,0,15,5,954
73,3,0.1,10,-0.9873122143361538,-2.331392793007739,970,0,5,2,2,5,6,1,3,4,0,1123,5,1,2,1,3,11,2,7,1,2,990,5,10,0,2,15,4,0,0,1,5,980,0,7,1,2,6,5,1,0,7,0,943,0,6,0,8,16,2,1,1,7,0,863,10,0,10,7,2,2,2,0,4,8,922,0,5,1,1,2,10,6,2,2,2,984,8,9,3,4,6,6,2,4,6,2,923,4,0,0,1,3,17,2,0,13,5,956
74,3,0.1,11,-1.100048438734389,-2.7632421116421817,971,0,5,2,2,5,6,1,4,4,0,1123,4,1,2,1,3,11,2,7,0,2,992,5,10,0,2,15,2,0,0,1,5,983,0,6,1,2,5,5,1,0,6,0,946,0,6,0,8,17,2,0,1,6,0,864,9,0,10,7,1,2,2,0,4,8,922,0,5,1,1,2,10,5,2,2,2,986,8,8,3,5,6,5,2,4,7,2,925,4,1,0,1,3,14,2,0,11,5,956
75,3,0.1,12,-1.297610178843315,-3.0653840114033954,971,0,5,1,2,5,5,1,4,4,0,1123,4,0,2,1,3,11,2,6,0,2,992,5,10,0,1,15,2,0,0,1,5,985,0,6,1,1,5,4,1,0,6,0,947,0,6,0,8,16,2,1,1,6,0,865,11,0,8,6,1,2,2,0,3,7,923,0,4,1,1,2,9,5,2,2,2,987,8,8,3,4,7,5,2,4,6,2,928,5,1,0,1,3,14,2,0,11,5,959
76,3,0.1,13,-1.665106973716394,-3.3695312738104826,971,0,5,1,1,5,5,1,4,4,0,1123,2,0,2,1,3,11,2,6,1,2,996,5,10,0,1,15,2,0,0,1,5,984,0,6,1,1,5,5,1,0,5,0,949,0,5,0,7,13,2,1,1,7,0,865,11,0,8,6,1,2,1,0,3,7,924,0,4,1,1,2,9,5,2,2,2,988,8,7,2,4,7,5,2,4,6,2,929,4,1,0,1,3,13,2,0,10,5,963
77,3,0.1,14,-1.7643249872178806,-3.5038436438710527,971,0,7,1,1,5,5,1,5,3,0,1123,2,0,2,1,3,11,2,6,1,2,996,6,10,0,2,14,2,0,0,1,5,984,0,6,1,1,5,5,1,0,4,0,949,0,5,0,5,14,2,1,1,6,0,865,11,0,7,6,1,2,0,0,3,7,924,0,5,1,1,2,9,5,2,2,2,989,7,6,2,4,7,5,1,4,5,2,931,4,1,0,1,3,14,2,0,10,5,964
78,3,0.1,15,-1.7874518049652948,-3.665891992882149,971,0,7,1,1,4,5,1,5,3,0,1123,2,0,2,1,3,11,2,6,1,2,996,6,9,0,2,14,2,0,0,1,5,984,0,6,1,1,5,5,1,0,4,0,950,0,5,0,5,13,2,1,1,6,0,866,11,0,7,7,1,2,0,0,3,7,925,0,5,1,1,2,9,5,2,2,2,991,7,6,2,4,7,5,1,4,4,2,931,4,1,0,1,3,14,2,0,8,5,964
79,3,0.1,16,-1.8929996903259372,-3.786843815548131,971,0,7,1,1,4,6,1,5,3,0,1123,1,0,1,1,3,10,2,6,1,2,998,6,9,0,2,14,2,0,0,1,4,984,0,6,1,1,5,5,1,0,4,0,950,0,5,0,5,13,1,1,1,6,0,865,11,0,7,7,1,2,0,0,3,7,924,0,5,1,1,2,9,5,2,2,2,993,8,6,3,4,7,5,1,5,4,2,931,3,1,0,1,3,15,2,0,7,4,965
80,3,0.1,17,-1.9344816260000754,-4.016291833315504,971,0,7,1,1,4,5,1,5,3,0,1124,1,0,1,1,3,10,2,5,1,2,998,4,9,0,2,14,2,0,0,1,4,987,0,6,1,1,5,4,1,0,4,0,951,0,5,0,5,13,1,1,1,6,0,865,11,0,6,7,1,2,0,0,3,7,925,0,5,1,1,2,9,5,2,2,2,993,7,7,3,3,7,4,1,5,4,2,932,3,1,0,1,3,14,2,0,7,5,966
81,3,0.1,18,-1.9538078010203634,-4.094404472474011,971,0,7,1,1,4,6,1,4,3,0,1124,1,0,1,1,3,10,2,5,1,2,998,4,9,0,2,14,2,0,0,1,4,987,0,6,1,1,5,4,1,0,3,0,952,0,4,0,5,13,1,1,1,6,0,865,11,0,6,7,1,2,0,0,3,7,925,0,5,1,1,2,10,5,2,2,2,993,7,7,3,3,7,4,1,6,4,2,933,3,1,0,1,3,13,1,0,7,5,966
82,3,0.1,19,-1.8801252732727753,-4.295618938662229,971,0,7,1,1,4,5,1,4,3,0,1124,1,0,1,1,3,10,2,5,1,2,998,4,9,0,3,13,2,0,0,1,4,987,0,6,1,1,5,4,1,0,3,0,952,0,4,0,5,13,1,1,1,6,0,865,9,0,6,7,1,2,0,0,3,7,927,0,5,1,1,2,10,5,2,2,2,996,7,7,3,3,7,4,1,6,4,1,933,3,1,0,1,3,13,1,0,6,5,966
83,3,0.1,20,-1.935240836293199,-4.3843231834076635,971,0,7,1,1,4,5,1,3,3,1,1124,2,0,1,1,3,9,2,5,1,2,996,4,9,0,3,13,2,0,0,1,4,987,0,6,0,1,3,4,1,0,4,0,951,0,4,0,6,12,1,1,1,6,0,865,10,0,6,7,1,2,0,0,3,7,927,0,3,1,1,2,10,5,2,2,2,997,7,7,2,3,7,4,2,6,4,1,936,4,1,0,1,3,13,1,0,6,6,966
84,4,0.2,0,6.713816176961695,-0.9323026666265897,290,109,149,252,218,420,298,247,258,128,461,479,176,251,179,265,132,400,136,359,6,4,5,10,14,3,18,15,34,9,80,65,47,101,62,68,76,6,43,41,0,0,5,0,9,5,0,2,2,1,86,325,352,274,363,59,272,298,418,402,2,0,3,4,5,1,0,0,8,6,43,66,261,73,102,55,122,47,51,23,11,87,31,45,26,16,40,13,24,40,1,0,3,0,4,0,0,0,0,0
85,4,0.2,1,3.850005616535848,4.5070117375204575,962,0,11,5,1,11,12,2,5,10,0,1113,8,3,0,3,4,13,7,7,1,2,942,16,5,4,5,27,10,4,2,2,13,925,0,24,2,4,23,7,0,1,7,2,909,6,9,7,9,24,4,0,0,29,1,804,23,0,22,11,6,4,8,2,13,11,899,2,11,1,0,2,14,10,1,5,2,939,7,9,4,11,22,11,9,18,2,0,867,6,1,0,7,7,43,6,0,34,13,930
86,4,0.2,2,1.4154102244920883,2.09189780911809,966,0,8,3,1,4,12,1,4,7,0,1119,4,2,1,3,4,11,6,6,2,2,964,11,5,1,4,22,6,1,2,2,13,950,0,14,0,4,15,5,0,0,7,0,925,1,9,4,8,19,3,0,1,20,0,844,19,0,20,9,4,3,5,1,11,9,905,0,9,1,0,2,11,9,0,3,1,955,6,8,2,7,15,10,6,7,4,2,891,6,1,0,4,4,33,6,0,29,9,947
87,4,0.2,3,0.46660520014836027,0.5478825214021975,967,0,6,3,2,4,9,1,4,5,0,1119,4,1,2,1,4,10,4,7,1,2,980,9,5,1,5,23,7,1,1,2,9,966,0,9,0,2,10,6,0,0,6,0,933,0,8,3,7,17,3,0,1,14,0,857,18,0,14,10,4,3,5,0,10,8,909,0,9,1,1,2,11,6,0,2,1,961,7,7,3,7,8,8,3,5,4,2,904,7,0,0,2,3,27,5,0,26,8,948
88,4,0.2,4,-0.4087105337695189,-0.6454303902729683,969,0,6,2,2,4,8,1,4,5,0,1121,2,1,2,1,3,10,4,8,1,2,985,7,9,0,1,20,5,0,0,2,7,974,0,9,0,2,9,6,0,0,7,0,938,0,6,2,6,17,2,1,1,10,0,859,16,0,11,7,5,2,4,0,5,8,918,0,8,1,1,2,10,6,0,2,1,972,7,7,2,5,8,7,2,5,5,2,912,4,0,0,2,3,24,4,0,19,8,954
89,4,0.2,5,-1.2837040520196317,-1.7487641438469317,971,0,7,2,2,5,8,1,5,4,0,1124,2,0,2,1,3,11,4,7,1,2,988,4,9,0,2,18,3,0,0,1,5,984,0,9,1,2,8,7,0,0,6,0,942,0,5,1,8,13,2,0,2,6,0,860,14,0,11,8,2,2,3,0,4,8,918,0,4,1,1,2,10,5,1,2,2,976,7,6,3,4,7,6,2,4,5,2,917,4,0,0,2,3,20,3,0,17,7,959
90,4,0.2,6,-1.6858990622195102,-2.2850992715518323,972,0,6,2,2,5,8,1,4,4,0,1123,2,0,1,1,3,11,2,7,1,2,992,4,8,0,3,16,2,0,0,1,5,985,0,7,1,2,6,6,0,0,5,0,945,0,4,1,8,14,2,0,1,5,0,862,17,0,11,7,1,2,2,0,5,7,917,0,5,1,1,2,10,5,1,2,2,981,8,6,2,5,8,5,2,4,3,2,920,3,1,0,1,4,18,4,0,14,8,961
91,4,0.2,7,-1.8712970964675062,-2.5382927724651827,972,0,7,1,2,5,8,1,4,4,0,1122,2,0,1,1,3,11,2,7,1,2,992,4,9,0,3,15,2,0,0,1,5,985,0,7,1,1,5,6,0,0,4,0,946,0,4,1,6,13,2,0,1,6,0,862,17,0,12,7,1,3,2,0,4,7,917,0,5,1,1,2,10,5,1,2,2,984,8,6,2,5,8,5,2,4,3,3,922,2,1,0,1,4,17,4,0,12,8,963
92,4,0.2,8,-2.1533999905617747,-2.971849137751168,971,0,7,1,1,5,8,1,5,3,0,1122,3,0,1,1,3,11,2,6,1,2,991,5,8,0,3,14,2,0,0,1,4,983,0,8,1,1,4,6,1,0,4,0,949,0,4,2,7,12,2,0,1,7,0,862,14,0,10,6,1,3,3,0,4,7,920,0,4,1,1,2,10,5,1,2,2,986,7,6,2,5,8,5,2,5,3,3,926,2,1,0,1,4,16,2,0,10,7,967
93,4,0.2,9,-2.555998286481851,-3.456957854375064,971,0,7,1,1,4,8,1,5,3,0,1123,2,0,1,1,3,11,2,6,1,3,995,5,8,0,3,14,1,0,0,1,4,983,0,8,1,1,3,5,1,0,3,0,950,0,4,1,7,9,1,0,1,7,0,863,14,0,7,7,1,3,1,0,3,7,920,0,3,1,1,2,10,5,1,2,2,989,7,6,3,3,8,5,1,5,3,4,930,2,1,0,1,4,17,2,0,7,9,970
94,4,0.2,10,-2.7713072354817685,-3.560412083106953,971,0,7,1,1,4,8,1,5,3,0,1122,2,0,1,1,3,9,2,6,1,3,997,6,6,0,2,14,1,0,0,1,3,981,0,7,1,1,3,4,1,0,2,0,951,0,4,1,7,8,1,0,1,8,0,864,14,1,7,7,2,4,1,0,4,7,921,0,4,1,1,2,11,5,1,2,2,990,7,6,2,3,7,5,1,5,3,3,929,2,1,0,1,4,17,2,0,8,9,972
